#SampleID	InputFileName	Sample order	Site	Date	Sample #	Numeric Sample #	Species
CB005	CB005_MERGED-MAX-MISMATCH-3	1	Coral Bay	2/22/17	005	5	Dlab
CB007	CB007_MERGED-MAX-MISMATCH-3	2	Coral Bay	2/22/17	007	7	Oann
CB009	CB009_MERGED-MAX-MISMATCH-3	3	Coral Bay	2/22/17	009	9	Dlab
CB008	CB008_MERGED-MAX-MISMATCH-3	4	Coral Bay	2/22/17	008	8	Oann
CB032	CB032_MERGED-MAX-MISMATCH-3	5	Coral Bay	2/22/17	032	32	Dlab
CB004	CB004_MERGED-MAX-MISMATCH-3	6	Coral Bay	2/22/17	004	4	Oann
CB001	CB001_MERGED-MAX-MISMATCH-3	7	Coral Bay	2/22/17	001	1	Oann
CB023	CB023_MERGED-MAX-MISMATCH-3	8	Coral Bay	2/22/17	023	23	Oann
CB015	CB015_MERGED-MAX-MISMATCH-3	9	Coral Bay	2/22/17	015	15	Dlab
CB034	CB034_MERGED-MAX-MISMATCH-3	10	Coral Bay	2/22/17	034	34	Oann
CB018	CB018_MERGED-MAX-MISMATCH-3	11	Coral Bay	2/22/17	018	18	Oann
CB020	CB020_MERGED-MAX-MISMATCH-3	12	Coral Bay	2/22/17	020	20	Dlab
CB017	CB017_MERGED-MAX-MISMATCH-3	13	Coral Bay	2/22/17	017	17	Oann
CB014	CB014_MERGED-MAX-MISMATCH-3	14	Coral Bay	2/22/17	014	14	Oann
CB021	CB021_MERGED-MAX-MISMATCH-3	15	Coral Bay	2/22/17	021	21	Dlab
CB024	CB024_MERGED-MAX-MISMATCH-3	16	Coral Bay	2/22/17	024	24	Oann
CB016	CB016_MERGED-MAX-MISMATCH-3	17	Coral Bay	2/22/17	016	16	Cnat
CB013	CB013_MERGED-MAX-MISMATCH-3	18	Coral Bay	2/22/17	013	13	Cnat
CB030	CB030_MERGED-MAX-MISMATCH-3	19	Coral Bay	2/22/17	030	30	Dlab
CB026	CB026_MERGED-MAX-MISMATCH-3	20	Coral Bay	2/22/17	026	26	Dlab
CB033	CB033_MERGED-MAX-MISMATCH-3	21	Coral Bay	2/22/17	033	33	Dlab
CB031	CB031_MERGED-MAX-MISMATCH-3	22	Coral Bay	2/22/17	031	31	Dlab
CB019	CB019_MERGED-MAX-MISMATCH-3	23	Coral Bay	2/22/17	019	19	Cnat
CB028	CB028_MERGED-MAX-MISMATCH-3	24	Coral Bay	2/22/17	028	28	Cnat
CB012	CB012_MERGED-MAX-MISMATCH-3	25	Coral Bay	2/22/17	012	12	Cnat
CB002	CB002_MERGED-MAX-MISMATCH-3	26	Coral Bay	2/22/17	002	2	Cnat
CB006	CB006_MERGED-MAX-MISMATCH-3	27	Coral Bay	2/22/17	006	6	Cnat
CB003	CB003_MERGED-MAX-MISMATCH-3	28	Coral Bay	2/22/17	003	3	Cnat
CB011	CB011_MERGED-MAX-MISMATCH-3	29	Coral Bay	2/22/17	011	11	Cnat
H069	H069_MERGED-MAX-MISMATCH-3	30	Haulover Bay	2/23/17	069	69	Dlab
H041	H041_MERGED-MAX-MISMATCH-3	31	Haulover Bay	2/23/17	041	41	Oann
H042	H042_MERGED-MAX-MISMATCH-3	32	Haulover Bay	2/23/17	042	42	Oann
H037	H037_MERGED-MAX-MISMATCH-3	33	Haulover Bay	2/23/17	037	37	Cnat
H051	H051_MERGED-MAX-MISMATCH-3	34	Haulover Bay	2/23/17	051	51	Oann
H067	H067_MERGED-MAX-MISMATCH-3	35	Haulover Bay	2/23/17	067	67	Cnat
H060	H060_MERGED-MAX-MISMATCH-3	36	Haulover Bay	2/23/17	060	60	Dlab
H038	H038_MERGED-MAX-MISMATCH-3	37	Haulover Bay	2/23/17	038	38	Oann
H022	H022_MERGED-MAX-MISMATCH-3	38	Haulover Bay	2/23/17	022	22	Cnat
H035	H035_MERGED-MAX-MISMATCH-3	39	Haulover Bay	2/23/17	035	35	Oann
H073	H073_MERGED-MAX-MISMATCH-3	40	Haulover Bay	2/23/17	073	73	Oann
H053	H053_MERGED-MAX-MISMATCH-3	41	Haulover Bay	2/23/17	053	53	Cnat
H063	H063_MERGED-MAX-MISMATCH-3	42	Haulover Bay	2/23/17	063	63	Oann
H070	H070_MERGED-MAX-MISMATCH-3	43	Haulover Bay	2/23/17	070	70	Oann
H068	H068_MERGED-MAX-MISMATCH-3	44	Haulover Bay	2/23/17	068	68	Cnat
H075	H075_MERGED-MAX-MISMATCH-3	45	Haulover Bay	2/23/17	075	75	Oann
H047	H047_MERGED-MAX-MISMATCH-3	46	Haulover Bay	2/23/17	047	47	Cnat
H036	H036_MERGED-MAX-MISMATCH-3	47	Haulover Bay	2/23/17	036	36	Cnat
